,fid_loss,solution,norms
68,0.68,"[array([-0.76644663,  0.67236081, -0.06846232,  0.12838962,  0.02442609,
       -0.00997497,  0.02446091, -0.00546019])]",1.0305361502272208
69,0.6900000000000001,"[array([-0.76644984,  0.67241432, -0.06853427,  0.12844272,  0.02440564,
       -0.0099713 ,  0.02444229, -0.00545522])]",1.03058386457816
70,0.7000000000000001,"[array([-0.76646902,  0.67328277, -0.06973371,  0.12932561,  0.02406247,
       -0.00990813,  0.02412883, -0.00537181])]",1.0313392151262704
71,0.71,"[array([-0.76630525,  0.67322862, -0.06983164,  0.12939821,  0.02405003,
       -0.00991039,  0.02412046, -0.00536791])]",1.0311974125508145
72,0.72,"[array([-0.76650031,  0.67241974, -0.068488  ,  0.12840835,  0.0244137 ,
       -0.00997123,  0.02444862, -0.00545746])]",1.0306179269675293
73,0.73,"[array([-0.76644894,  0.67240008, -0.06851517,  0.12842862,  0.02441108,
       -0.00997228,  0.02444724, -0.00545654])]",1.0305711410933
74,0.74,"[array([-0.7662604 ,  0.67256708, -0.06895128,  0.12875099,  0.02430655,
       -0.0099592 ,  0.02435584, -0.00543008])]",1.0306043175598407
75,0.75,"[array([-0.76652459,  0.67312608, -0.06945507,  0.12912064,  0.02413731,
       -0.0099206 ,  0.02419632, -0.00539031])]",1.031237298952143
76,0.76,"[array([-0.76644087,  0.67228755, -0.06836521,  0.12831795,  0.02445377,
       -0.00997996,  0.02448613, -0.0054669 ])]",1.0304700419518462
77,0.77,"[array([-0.76643943,  0.67226942, -0.0683412 ,  0.12830022,  0.02446061,
       -0.00998119,  0.02449236, -0.00546856])]",1.0304536672464548
78,0.78,"[array([-0.76644326,  0.67231935, -0.06840749,  0.12834916,  0.02444174,
       -0.0099778 ,  0.02447517, -0.00546398])]",1.0304986778666683
79,0.79,"[array([-0.7662956 ,  0.67252682, -0.06885716,  0.12868149,  0.02432975,
       -0.00996235,  0.02437629, -0.00543592])]",1.030590339408686
80,0.8,"[array([-0.76647058,  0.67313954, -0.06953133,  0.12917693,  0.02412065,
       -0.00991903,  0.02418209, -0.00538597])]",1.0312173599492651
81,0.81,"[array([-0.76644745,  0.67236761, -0.06847101,  0.12839603,  0.02442358,
       -0.00997451,  0.02445862, -0.00545958])]",1.0305424538466281
82,0.8200000000000001,"[array([-0.76646824,  0.67322841, -0.0696584 ,  0.1292703 ,  0.02408429,
       -0.00991227,  0.02414884, -0.00537711])]",1.0312921723752535
83,0.8300000000000001,"[array([-0.76644969,  0.6724098 , -0.06852806,  0.12843813,  0.02440739,
       -0.00997161,  0.02444388, -0.00545565])]",1.0305799000130647
84,0.84,"[array([-0.76644928,  0.67241433, -0.06853488,  0.12844316,  0.02440552,
       -0.00997129,  0.02444219, -0.00545519])]",1.0305835495479583
85,0.85,"[array([-0.76644262,  0.67231095, -0.06839633,  0.12834092,  0.02444492,
       -0.00997837,  0.02447807, -0.00546475])]",1.0304911085534498
86,0.86,"[array([-0.76643885,  0.67225298, -0.06831864,  0.12828356,  0.02446696,
       -0.0099823 ,  0.02449812, -0.0054701 ])]",1.0304392458539913
87,0.87,"[array([-0.76642715,  0.67214156, -0.06817401,  0.12817675,  0.02450831,
       -0.00998976,  0.0245358 , -0.00548012])]",1.0303369976184131
