,fid_loss,solution,norms
55,0.55,"[array([-0.0119081 ,  0.00279429,  0.12018648, -0.0040762 ,  0.01568944,
        0.00368393,  0.01459365,  0.00238855])]",0.1228390281971968
56,0.56,"[array([-0.0119114 ,  0.00279709,  0.12018411, -0.00407501,  0.0156905 ,
        0.00368413,  0.0145948 ,  0.00238865])]",0.122837326301816
57,0.5700000000000001,"[array([-0.01190684,  0.00279323,  0.12018742, -0.00407669,  0.01568905,
        0.00368385,  0.01459321,  0.00238851])]",0.1228397084067955
58,0.58,"[array([-0.01190702,  0.00279338,  0.12018727, -0.00407661,  0.0156891 ,
        0.00368386,  0.01459328,  0.00238852])]",0.1228395988487133
59,0.59,"[array([-0.01191196,  0.00279757,  0.12018369, -0.00407479,  0.01569068,
        0.00368416,  0.014595  ,  0.00238867])]",0.1228370212306088
60,0.6,"[array([-0.0119084 ,  0.00279455,  0.12018629, -0.00407613,  0.01568954,
        0.00368394,  0.01459375,  0.00238856])]",0.1228388994174347
61,0.61,"[array([-0.01190958,  0.00279555,  0.12018543, -0.00407568,  0.01568992,
        0.00368402,  0.01459417,  0.00238859])]",0.1228382747618263
62,0.62,"[array([-0.01190835,  0.0027945 ,  0.12018632, -0.00407613,  0.01568952,
        0.00368394,  0.01459374,  0.00238856])]",0.1228389123113763
63,0.63,"[array([-0.01190917,  0.0027952 ,  0.12018572, -0.00407583,  0.01568979,
        0.00368399,  0.01459402,  0.00238858])]",0.1228384854066681
64,0.64,"[array([-0.01190805,  0.00279425,  0.12018654, -0.00407625,  0.01568943,
        0.00368392,  0.01459363,  0.00238855])]",0.1228390755648776
65,0.65,"[array([-0.01190502,  0.00279169,  0.12018873, -0.00407735,  0.01568847,
        0.00368374,  0.01459258,  0.00238846])]",0.1228406508592728
66,0.66,"[array([-0.01190952,  0.0027955 ,  0.12018546, -0.00407569,  0.0156899 ,
        0.00368401,  0.01459415,  0.00238859])]",0.1228382950387169
67,0.67,"[array([-0.01190844,  0.00279458,  0.12018624, -0.00407608,  0.01568955,
        0.00368395,  0.01459377,  0.00238856])]",0.1228388535621142
68,0.68,"[array([-0.01190712,  0.00279346,  0.1201872 , -0.00407657,  0.01568913,
        0.00368387,  0.01459331,  0.00238852])]",0.1228395468911108
69,0.6900000000000001,"[array([-0.01191113,  0.00279687,  0.12018429, -0.0040751 ,  0.01569041,
        0.00368411,  0.01459471,  0.00238864])]",0.1228374570240902
70,0.7000000000000001,"[array([-0.01190723,  0.00279355,  0.12018711, -0.00407651,  0.01568916,
        0.00368387,  0.01459335,  0.00238852])]",0.1228394781843613
71,0.71,"[array([-0.01190803,  0.00279423,  0.12018655, -0.00407625,  0.01568942,
        0.00368392,  0.01459363,  0.00238855])]",0.1228390811723921
72,0.72,"[array([-0.01190835,  0.00279451,  0.12018632, -0.00407614,  0.01568953,
        0.00368394,  0.01459374,  0.00238856])]",0.1228389201920173
73,0.73,"[array([-0.01190909,  0.00279513,  0.12018579, -0.00407587,  0.01568976,
        0.00368399,  0.01459399,  0.00238858])]",0.1228385362519488
